project_id,name,description
1,ГКНБ - Городской,
2,Кен-Суу Дом,
3,Резиденция,
4,Новый Ошский,
5,Офис на Баха,
6,Чайхана,
7,Автовокзал,
8,ГКНБ - Дом,
9,Квартира Кут,
10,Турандот,
11,Хаят,
12,Дом ИК Данияра,
13,Киргизия 1 Таунхаус,
14,Каганат (ИК дом),
15,Салкын Тор,
16,Салкын Тор 4 дом,
17,Салкын Тор 11 дом,
18,Квартира Дария,
19,Саламат 2 дом,
20,БГУ (Бишкекское Главное Управление),
21,ГКНБ 9 управление,
22,Ресторан Ала-Арча,
23,Коттедж в г.Кербен,
24,Коттедж в с.Орто-Сай (Сары-Озон),
25,Офис по ул.Садырбаева,
26,Коттедж по ул.Кожомкула,
27,Резиденция на ИК - 12 корпус,
28,Хаят бар,
29,Квартира Салладина,
30,Цветочная 11,
31,Кулмурзаева 66,
32,Сеиль шеф Саламата,
33,Квартира Дим Димыча,