project_stage_id,project_id,stage_id,is_active
2,2,5,FALSE
3,3,3,FALSE
5,5,21,TRUE
6,6,16,TRUE
8,8,4,TRUE
9,9,12,TRUE
10,10,15,TRUE
11,11,16,TRUE
12,12,17,TRUE
13,13,14,TRUE
14,14,6,TRUE
15,15,2,TRUE
16,16,1,TRUE
17,17,3,TRUE
18,18,6,TRUE
19,19,16,TRUE
20,20,3,TRUE
21,21,19,TRUE
22,22,18,TRUE
23,23,14,TRUE
24,24,13,TRUE
25,25,17,TRUE
26,26,6,TRUE
27,27,12,TRUE
28,28,1,TRUE
29,29,6,TRUE
30,30,15,TRUE
31,31,17,TRUE
32,32,19,TRUE
33,33,21,TRUE
,4,1,TRUE
,4,2,TRUE
,4,3,TRUE
,7,2,TRUE
,7,5,TRUE
,1,2,TRUE
,1,18,TRUE